Comment,Designator,Footprint,JLCPCB Part #
7pF,"C1, C2",CAP_0402_N,C307438
10u,"C101, C102, C112",CAPP_0805_L,C15850
100nF,"C103, C104, C105, C106, C107, C108, C109",CAP_0402_N,C307331
2.2u,C110,CAP_0402_N,C12530
470uF,C111,CAPAE1030X1020D1110L450X95N,C3350
Yellow LED,"D1, D2, D3, D4",DIO_0603_L,C72038
100V 2A 840mV @ 2A,D101,SOD-123FL,C96515
,J1,C165948,C165948
,J2,RHDRV10W80P254_10X1_2590X250H875_AP1,"
C225507"
,J3,RHDRV2W80P254_2X1_558X250H875_AP1,C225499
47uH,L101,6mmx6mm Inductor Patern,C36414
1K,"R1, R8, R12",RES_0402_N,C11702
10K,"R2, R3, R4, R7, R9",RESCAV8P50_200X100X50L25X30N,C102629
27.4,"R5, R6",RES_0402_M,C31439
5.1K,"R10, R11",RES_0402_N,C25905
200,R101,RES_0402_M,C186309
,"S1, S2, S3, S4, S201, S202, S203, S204, S205, S206, S207, S208, S209, S210, S211, S212, S213, S214, S215, S216, S217, S218, S219, S220, S221, S222, S223, S224, S225, S226, S227, S228, S229, S230, S231, S232, S233, S234, S235, S236",C720477,C720477
,U1,RP2040,C2040
16mb,U2,SOIC8P127_585X970X360L100X38N,C131025
3.3V Fixed Regulator,U101,SOIC8P127_490X600X175L64X43L,C74193
12Mhz,Y1,7M12000039,C90900
