Designator,Mid X,Mid Y,Layer,Rotation
C1,60,41.5,Top,180
C2,60,46.4,Top,0
C101,45.5,45.5,Top,90
C102,48,39,Top,270
C103,48,46,Top,180
C104,48,48.8,Top,180
C105,50,39,Top,270
C106,45.5,43.5,Top,180
C107,48,47,Top,180
C108,54,39,Top,270
C109,45.5,42.7,Top,180
C110,48,48,Top,180
C111,6,36,Top,180
C112,13,45.5,Top,90
D1,63,42.5,Top,180
D2,63,44,Top,180
D3,63,45.5,Top,180
D4,63,47,Top,180
D101,22,42,Top,90
J1,3.731,47,Top,270
J2,53.43,51,Top,0
J3,36.27,51,Top,0
L101,17,38,Top,90
R1,42,35,Top,0
R2,50,35.5,Top,0
R3,52.8,35.5,Top,0
R4,55.6,35.5,Top,0
R5,10,46.3,Top,0
R6,10,47.2,Top,0
R7,66,46,Top,270
R8,42,34,Top,180
R9,58.4,35.5,Top,0
R10,10,48,Top,180
R11,10,45.5,Top,180
R12,57.8,44.4,Top,270
R101,49.8,48.7,Top,180
S1,34,45,Top,0
S2,5,9,Top,0
S3,32,3,Top,0
S4,34,35,Top,0
S201,5,27,Top,0
S202,11,27,Top,0
S203,17,27,Top,0
S204,23,27,Top,0
S205,29,27,Top,0
S206,35,27,Top,0
S207,41,27,Top,0
S208,47,27,Top,0
S209,53,27,Top,0
S210,59,27,Top,0
S211,8,21,Top,0
S212,14,21,Top,0
S213,26,21,Top,0
S214,20,21,Top,0
S215,32,21,Top,0
S216,38,21,Top,0
S217,44,21,Top,0
S218,50,21,Top,0
S219,56,21,Top,0
S220,62,21,Top,0
S221,11,15,Top,0
S222,17,15,Top,0
S223,23,15,Top,0
S224,29,15,Top,0
S225,35,15,Top,0
S226,41,15,Top,0
S227,47,15,Top,0
S228,53,15,Top,0
S229,59,15,Top,0
S230,14,9,Top,0
S231,20,9,Top,0
S232,26,9,Top,0
S233,32,9,Top,0
S234,38,9,Top,0
S235,44,9,Top,0
S236,50,9,Top,0
U1,53,44,Top,90
U2,41,43,Top,180
U101,17,45.5,Top,0
Y1,60,44,Top,90
